order,points,dimension,r2,curve
4,256,0.4597118287805932,0.5766502827192571,Hilbert
5,1024,0.9706182384382002,0.798635545465165,Hilbert
6,4096,1.4846705766620198,0.9327630121478163,Hilbert
7,16384,1.8577155219496488,0.992178090056701,Hilbert
2,81,0.1332734364211618,0.29545048195107204,Peano
3,729,0.8395800354437557,0.7516569657486097,Peano
4,6561,1.6334893470834784,0.961198414638495,Peano
5,59049,1.9646016087660847,0.9993055080324237,Peano
10,2049,1.2166025246388603,0.9179416636689602,Dragon
12,8193,1.6007395379411662,0.9885063564915882,Dragon
14,32769,1.7553564992290867,0.9994894706229296,Dragon
16,131073,1.7689868464556235,0.99944928728437,Dragon
